date,id,I,Temp,Pr,a,b,Q,Err_I,Err_Temp,Err_Pr
2019-04-03 12:00:00,1,43,22.7,753,36.5394,6.8964,0.976790914790404,2,0.1,1
2019-04-03 13:00:00,1,40,23,753,36.5394,6.8964,0.895474892967209,2,0.1,1
2019-04-03 14:00:00,1,40,22.9,753,36.5394,6.8964,0.895474892967209,2,0.1,1
2019-04-03 15:00:00,1,35,23.1,753,36.5394,6.8964,0.75994818992855,2,0.1,1
2019-04-03 16:00:00,1,35,24,753,36.5394,6.8964,0.75994818992855,2,0.1,1
2019-04-03 17:00:00,1,35,23.4,753,36.5394,6.8964,0.75994818992855,2,0.1,1
2019-04-03 18:00:00,1,30,21.8,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-03 19:00:00,1,25,20.7,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-03 20:00:00,1,25,20.2,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-03 21:00:00,1,25,20.2,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-03 22:00:00,1,25,20.3,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-03 23:00:00,1,25,20.3,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-04 00:00:00,1,25,20.2,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-04 01:00:00,1,25,20.4,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-04 02:00:00,1,25,20.4,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-04 03:00:00,1,25,20.1,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-04 04:00:00,1,25,20.1,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-04 05:00:00,1,25,20.5,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-04 06:00:00,1,25,20.7,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-04 07:00:00,1,25,20.9,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-04 08:00:00,1,30,20.8,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-04 09:00:00,1,35,24.2,753,36.5394,6.8964,0.75994818992855,2,0.1,1
2019-04-04 10:00:00,1,40,26.6,753,36.5394,6.8964,0.895474892967209,2,0.1,1
2019-04-04 11:00:00,1,43,28.6,753,36.5394,6.8964,0.976790914790404,2,0.1,1
2019-04-06 12:00:00,2,40,20.8,753,36.5394,6.8964,0.895474892967209,2,0.1,1
2019-04-06 13:00:00,2,40,21.4,753,36.5394,6.8964,0.895474892967209,2,0.1,1
2019-04-06 14:00:00,2,40,21.4,753,36.5394,6.8964,0.895474892967209,2,0.1,1
2019-04-06 15:00:00,2,35,21.8,753,36.5394,6.8964,0.75994818992855,2,0.1,1
2019-04-06 16:00:00,2,30,22.2,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-06 17:00:00,2,30,21.4,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-06 18:00:00,2,30,20.8,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-06 19:00:00,2,30,20.2,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-06 20:00:00,2,30,19.4,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-06 21:00:00,2,30,18.8,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-06 22:00:00,2,30,17.6,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-06 23:00:00,2,30,16.4,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-07 00:00:00,2,30,14.9,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-07 01:00:00,2,30,14.7,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-07 02:00:00,2,30,14.6,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-07 03:00:00,2,30,15.6,753,36.5394,6.8964,0.624421486889892,2,0.1,1
2019-04-07 04:00:00,2,20,14.2,753,36.5394,6.8964,0.353368080812575,2,0.1,1
2019-04-07 05:00:00,2,25,13.1,753,36.5394,6.8964,0.488894783851234,2,0.1,1
2019-04-07 06:00:00,2,35,12.5,753,36.5394,6.8964,0.75994818992855,2,0.1,1
2019-04-07 07:00:00,2,40,12.7,753,36.5394,6.8964,0.895474892967209,2,0.1,1
2019-04-07 08:00:00,2,45,13,753,36.5394,6.8964,1.03100159600587,2,0.1,1
2019-04-07 09:00:00,2,52,17.1,753,36.5394,6.8964,1.22073898025999,2,0.1,1
2019-04-07 10:00:00,2,40,20.2,753,36.5394,6.8964,0.895474892967209,2,0.1,1
2019-04-07 11:00:00,2,40,22,753,36.5394,6.8964,0.895474892967209,2,0.1,1
2019-04-09 12:00:00,3,35,26.3,753,36.5394,6.8964,0.75994818992855,2,0.1,1
2019-04-09 13:00:00,3,30,27,753,36.5394,6.8964,0.624421486889892,2,0.1,1
